gbifid,accessrights,bibliographiccitation,language,license,modified,publisher,references,rightsholder,type,institutionid,collectionid,datasetid,institutioncode,collectioncode,datasetname,ownerinstitutioncode,basisofrecord,informationwithheld,datageneralizations,dynamicproperties,occurrenceid,catalognumber,recordnumber,recordedby,recordedbyid,individualcount,organismquantity,organismquantitytype,sex,lifestage,reproductivecondition,caste,behavior,vitality,establishmentmeans,degreeofestablishment,pathway,georeferenceverificationstatus,occurrencestatus,preparations,disposition,associatedoccurrences,associatedreferences,associatedsequences,associatedtaxa,othercatalognumbers,occurrenceremarks,organismid,organismname,organismscope,associatedorganisms,previousidentifications,organismremarks,materialentityid,materialentityremarks,verbatimlabel,materialsampleid,eventid,parenteventid,eventtype,fieldnumber,eventdate,eventtime,startdayofyear,enddayofyear,year,month,day,verbatimeventdate,habitat,samplingprotocol,samplesizevalue,samplesizeunit,samplingeffort,fieldnotes,eventremarks,locationid,highergeographyid,highergeography,continent,waterbody,islandgroup,island,countrycode,stateprovince,county,municipality,locality,verbatimlocality,verbatimelevation,verticaldatum,verbatimdepth,minimumdistanceabovesurfaceinmeters,maximumdistanceabovesurfaceinmeters,locationaccordingto,locationremarks,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,pointradiusspatialfit,verbatimcoordinatesystem,verbatimsrs,footprintwkt,footprintsrs,footprintspatialfit,georeferencedby,georeferenceddate,georeferenceprotocol,georeferencesources,georeferenceremarks,geologicalcontextid,earliesteonorlowesteonothem,latesteonorhighesteonothem,earliesteraorlowesterathem,latesteraorhighesterathem,earliestperiodorlowestsystem,latestperiodorhighestsystem,earliestepochorlowestseries,latestepochorhighestseries,earliestageorloweststage,latestageorhigheststage,lowestbiostratigraphiczone,highestbiostratigraphiczone,lithostratigraphicterms,group,formation,member,bed,identificationid,verbatimidentification,identificationqualifier,typestatus,identifiedby,identifiedbyid,dateidentified,identificationreferences,identificationverificationstatus,identificationremarks,taxonid,scientificnameid,acceptednameusageid,parentnameusageid,originalnameusageid,nameaccordingtoid,namepublishedinid,taxonconceptid,scientificname,acceptednameusage,parentnameusage,originalnameusage,nameaccordingto,namepublishedin,namepublishedinyear,higherclassification,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,subtribe,genus,genericname,subgenus,infragenericepithet,specificepithet,infraspecificepithet,cultivarepithet,taxonrank,verbatimtaxonrank,vernacularname,nomenclaturalcode,taxonomicstatus,nomenclaturalstatus,taxonremarks,datasetkey,publishingcountry,lastinterpreted,elevation,elevationaccuracy,depth,depthaccuracy,distancefromcentroidinmeters,issue,taxonomicissue,nontaxonomicissue,mediatype,hascoordinate,hasgeospatialissues,taxonkey,acceptedtaxonkey,kingdomkey,phylumkey,classkey,orderkey,familykey,genuskey,subgenuskey,specieskey,species,acceptedscientificname,verbatimscientificname,typifiedname,protocol,lastparsed,lastcrawled,isinvasive,repatriated,relativeorganismquantity,projectid,issequenced,gbifregion,publishedbygbifregion,level0gid,level0name,level1gid,level1name,level2gid,level2name,level3gid,level3name,iucnredlistcategory,reproductivecondition_clean,phenology_code
5177216490,,NA,,CC_BY_NC_4_0,2025-05-31T12:19:07Z,NA,https://www.inaturalist.org/observations/271434398,John Reiss,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/271434398,271434398,,John Reiss,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-18T12:26:45,12:26:45-07:00,108,108,2025,4,18,2025-04-18 12:26:45,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"Kern County, US-CA, US",,NA,NA,NA,NA,NA,,35.446755,-118.787521,3,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640912477,NA,NA,,Ryan O'Dell,,2025-05-31T00:25:46Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T03:53:15Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T03:53:15Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,,NA
5177096567,,NA,,CC_BY_NC_4_0,2025-05-31T00:27:59Z,NA,https://www.inaturalist.org/observations/268174087,Shane Hanofee,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/268174087,268174087,,Shane Hanofee,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-04-01T13:04:05,13:04:05-07:00,91,91,2025,4,1,2025-04-01 13:04:05,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"Wasco, CA 93280, USA",,NA,NA,NA,NA,NA,,35.546486,-119.494487,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607952227,NA,NA,,Shane Hanofee,,2025-04-02T04:03:11Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T03:54:53Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T03:54:53Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,,NA
5176688565,,NA,,CC_BY_NC_4_0,2025-05-31T02:05:06Z,NA,https://www.inaturalist.org/observations/263324489,James T. Von Tersch,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/263324489,263324489,,James T. Von Tersch,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-02-27T11:29:47,11:29:47-08:00,58,58,2025,2,27,2025-02-27 11:29:47-08:00,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"Buttonwillow, CA, US",,NA,NA,NA,NA,NA,,35.428888,-119.500245,4,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640913705,NA,NA,,Ryan O'Dell,,2025-05-31T00:28:42Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T06:17:46Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T06:17:46Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,,NA
5176620566,,NA,,CC_BY_NC_4_0,2025-05-31T02:05:13Z,NA,https://www.inaturalist.org/observations/263297483,James T. Von Tersch,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/263297483,263297483,,James T. Von Tersch,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-02-27T11:05:09,11:05:09-08:00,58,58,2025,2,27,2025-02-27 11:05:09-08:00,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"Buerkle Rd, Buttonwillow, CA, US",,NA,NA,NA,NA,NA,,35.384539,-119.443073,23,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640913753,NA,NA,,Ryan O'Dell,,2025-05-31T00:28:49Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T06:17:26Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T06:17:26Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,,NA
5176510513,,NA,,CC_BY_NC_4_0,2025-07-31T05:41:38Z,NA,https://www.inaturalist.org/observations/265585448,Elizabeth McNamara,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/265585448,265585448,,Elizabeth McNamara,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-03-16T11:51:56,11:51:56-07:00,75,75,2025,3,16,Sun Mar 16 2025 11:51:56 GMT -0700 (PDT),,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,Alpaugh,,NA,NA,NA,NA,NA,,35.885006,-119.415146,85,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640913608,NA,NA,,Ryan O'Dell,,2025-05-31T00:28:28Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T05:12:28Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T05:12:28Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.54_1,Tulare,NA,NA,NA,,NA
5176409382,,NA,,CC_BY_NC_4_0,2025-05-31T00:28:06Z,NA,https://www.inaturalist.org/observations/268021306,Shane Hanofee,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/268021306,268021306,,Shane Hanofee,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-03-31T10:25:50,10:25:50-07:00,90,90,2025,3,31,2025-03-31 10:25:50,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"Wasco, CA 93280, USA",,NA,NA,NA,NA,NA,,35.515629,-119.501568,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607604996,NA,NA,,Shane Hanofee,,2025-04-01T05:18:38Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T05:13:13Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T05:13:13Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,,NA
5108091821,,NA,,CC_BY_NC_4_0,2025-03-30T04:51:39Z,NA,https://www.inaturalist.org/observations/266336453,thehumuhumu,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/266336453,266336453,,thehumuhumu,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-03-21T18:31:59,18:31:59-07:00,80,80,2025,3,21,2025-03-21 18:31:59-07:00,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"McKittrick Hwy, McKittrick, CA, US",,NA,NA,NA,NA,NA,,35.354233,-119.596275,6,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606560058,NA,NA,,Ryan O'Dell,,2025-03-29T19:15:45Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T06:18:10Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T06:18:10Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,,NA
5062745373,,NA,,CC_BY_NC_4_0,2025-01-26T04:56:32Z,NA,https://www.inaturalist.org/observations/219873325,Matt Reala,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/219873325,219873325,,Matt Reala,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-04-17T12:26:18,12:26:18-07:00,107,107,2023,4,17,2023-04-17 12:26:18-07:00,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"CA-178, Bakersfield, CA, US",,NA,NA,NA,NA,NA,,35.446563,-118.787658,67,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,586642381,NA,NA,,Ryan O'Dell,,2025-01-26T04:34:56Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T05:02:05Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T05:02:05Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,,NA
5062711762,,NA,,CC_BY_NC_4_0,2025-01-26T04:37:23Z,NA,https://www.inaturalist.org/observations/205432548,jnrchrd,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/205432548,205432548,,jnrchrd,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-04T08:20:15,08:20:15-07:00,95,95,2024,4,4,2024-04-04 08:20:15,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"Buttonwillow, CA, USA",,NA,NA,NA,NA,NA,,35.399873,-119.401867,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466867648,NA,NA,,Bob Steele,,2024-04-04T22:37:59Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T05:03:14Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T05:03:14Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,,NA
5062691068,,NA,,CC_BY_NC_4_0,2025-04-05T23:26:59Z,NA,https://www.inaturalist.org/observations/213853950,Bob Steele,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,,https://www.inaturalist.org/observations/213853950,213853950,,Bob Steele,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-05-05T13:20,13:20:00-07:00,126,126,2024,5,5,2024/05/05 1:20 PM,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"Kern County, CA, USA",,NA,NA,NA,NA,NA,,35.761014,-119.585442,5,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482965522,NA,NA,,Bob Steele,,2024-05-06T00:18:54Z,NA,NA,,58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T03:42:44Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T03:42:44Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,,NA
5062673246,,NA,,CC_BY_NC_4_0,2025-04-06T03:02:53Z,NA,https://www.inaturalist.org/observations/215715447,Henrik Kibak,,,,,iNaturalist,Observations,iNaturalist research-grade observations,,HUMAN_OBSERVATION,,NA,"""{""""leaves"""":""""green leaves""""}""",https://www.inaturalist.org/observations/215715447,215715447,,Henrik Kibak,,NA,NA,NA,NA,NA,flowers|fruits or seeds,NA,NA,NA,NA,NA,NA,NA,PRESENT,,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-04-07T07:59,07:59:00-07:00,98,98,2024,4,7,2024/04/07 7:59 AM,,NA,NA,NA,NA,NA,NA,NA,,,NORTH_AMERICA,NA,NA,NA,US,California,,,,"Buttonwillow, CA, USA",,NA,NA,NA,NA,NA,,35.399628,-119.430406,4,NA,NA,NA,NA,NA,NA,NA,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,487007782,NA,NA,,Henrik Kibak,,2024-05-14T14:54:17Z,NA,NA,"- Disk pappus of 1--32 awns, bristles, or scales - Paleae in 1 involucre-like series between ray and disk flowers; plant glandular - Disk pappus generally of bristles or bristle-like scales, 1--7 mm, if scales linear and long-tapering or awl-shaped, then proximally plumose and often proximally woolly adaxially - Disk pappus bristles or bristle-like scales proximally plumose, generally not woolly adaxially; plant generally strongly scented, even when not touched (except fleshy plants of coastal dunes) - Disk pappus persistent; basal rosette leaves lobed; ray white or yellow throughout, or proximally yellow and distally white or pale yellow - Ray white",58007,NA,NA,NA,NA,NA,NA,NA,Layia pentachaeta subsp. albida D.D.Keck,,NA,NA,NA,NA,NA,,Plantae,Tracheophyta,Magnoliopsida,Asterales,NA,Asteraceae,NA,NA,NA,Layia,Layia,NA,NA,pentachaeta,albida,NA,SUBSPECIES,,NA,,ACCEPTED,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,US,2025-12-25T05:01:47Z,NA,NA,NA,NA,NA,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND,NA,NA,StillImage,TRUE,FALSE,5705389,5705389,6,7707728,220,414,3065,3110054,NA,5392988,Layia pentachaeta,Layia pentachaeta subsp. albida D.D.Keck,Layia pentachaeta albida,NA,DWC_ARCHIVE,2025-12-25T05:01:47Z,2025-12-24T14:08:22Z,NA,FALSE,NA,https://www.inaturalist.org/projects/california-endemic-species,FALSE,NORTH_AMERICA,NORTH_AMERICA,USA,United States,USA.5_1,California,USA.5.15_1,Kern,NA,NA,NA,flowers|fruits or seeds,F
